number,year,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,corr9,corr10,corr11,corr12,corr13,corr14,corr15
0,2019,controls*sleep*ILF_rh,,,,,,,,,,,,,,
1,2019,degenerative*visual*optic_lh,degenerative*visual*CC,,,,,,,,,,,,,
2,2019,psychiatric*reward*projection_ukn,,,,,,,,,,,,,,
6,2019,controls*reward*striatal_rh,,,,,,,,,,,,,,
8,2019,psychiatric*addiction*CC,,,,,,,,,,,,,,
11,2019,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
12,2019,psychiatric*memory*CC,,,,,,,,,,,,,,
13,2019,neurological*motor*thalamic_lh,,,,,,,,,,,,,,
15,2019,degenerative*memory*limbic_ukn,degenerative*executive*limbic_ukn,degenerative*memory*fornix,,,,,,,,,,,,
16,2018,controls*language*striatal_lh,,,,,,,,,,,,,,
17,2018,neurological*memory*fornix,,,,,,,,,,,,,,
18,2018,psychiatric*language*thalamic_lh,psychiatric*attention*thalamic_lh,psychiatric*symptoms*MDLF_rh,,,,,,,,,,,,
19,2018,controls*executive*accumbofrontal_ukn,,,,,,,,,,,,,,
20,2019,psychiatric*mood*uncinate_lh,,,,,,,,,,,,,,
21,2018,psychiatric*executive*striatal_rh,psychiatric*addiction*striatal_lh,,,,,,,,,,,,,
22,2018,psychiatric*addiction*striatal_lh,,,,,,,,,,,,,,
24,2018,degenerative*executive*cingulum_lh,,,,,,,,,,,,,,
27,2018,neurological*memory*fornix,,,,,,,,,,,,,,
28,2018,controls*motor*SLF1_rh,controls*motor*SLF1_lh,,,,,,,,,,,,,
31,2018,neurological*attention*thalamic_rh,,,,,,,,,,,,,,
33,2018,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
35,2018,neurological*language*AFlong_rh,neurological*language*FAT_rh,neurological*language*IFOF_rh,,,,,,,,,,,,
40,2018,neurodevelopmental*symptoms*SLF3_rh,neurodevelopmental*symptoms*AFant_rh,,,,,,,,,,,,,
41,2018,controls*mood*CC,,,,,,,,,,,,,,
42,2018,neurodevelopmental*auditory*AFant_rh,neurodevelopmental*auditory*AFpos_rh,neurodevelopmental*auditory*AFlong_lh,,,,,,,,,,,,
43,2018,psychiatric*memory*limbic_lh,psychiatric*mood*limbic_ukn,,,,,,,,,,,,,
44,2018,neurodevelopmental*language*FAT_rh,neurodevelopmental*language*thalamic_rh,neurodevelopmental*language*uncinate_rh,,,,,,,,,,,,
45,2018,neurological*executive*striatal_rh,,,,,,,,,,,,,,
46,2018,neurodevelopmental*social*limbic_rh,neurodevelopmental*executive*limbic_lh,,,,,,,,,,,,,
48,2017,psychiatric*symptoms*projection_lh,psychiatric*symptoms*projection_rh,,,,,,,,,,,,,
49,2018,degenerative*symptoms*fornix,,,,,,,,,,,,,,
50,2017,neurodevelopmental*language*optic_lh,,,,,,,,,,,,,,
51,2018,controls*visual*MDLF_lh,controls*visual*ILF_lh,,,,,,,,,,,,,
52,2018,degenerative*executive*CST_ukn,degenerative*executive*CC,degenerative*executive*uncinate_rh,,,,,,,,,,,,
53,2018,neurological*attention*SLF3_rh,neurological*attention*IFOF_rh,,,,,,,,,,,,,
54,2018,neurological*motor*CC,neurological*motor*CST_ukn,neurological*motor*uncinate_rh,neurological*motor*SLF_lh,neurological*motor*thalamic_rh,neurological*motor*cerebellar_rh,neurological*memory*CC,neurological*memory*fornix,neurological*memory*uncinate_lh,neurological*memory*CST_rh,,,,,
55,2017,neurological*attention*cerebellar_lh,neurological*executive*cerebellar_rh,,,,,,,,,,,,,
56,2017,controls*memory*ILF_lh,controls*memory*uncinate_lh,,,,,,,,,,,,,
57,2017,neurological*auditory*IFOF_rh,neurological*auditory*AFpos_lh,neurological*auditory*CC,neurological*auditory*uncinate_rh,,,,,,,,,,,
58,2018,degenerative*motor*striatal_lh,degenerative*motor*CC,,,,,,,,,,,,,
59,2017,neurodevelopmental*motor*CC,neurodevelopmental*motor*CST_lh,neurodevelopmental*motor*CST_rh,controls*motor*CST_lh,controls*motor*CST_rh,,,,,,,,,,
60,2017,neurological*mood*projection_lh,,,,,,,,,,,,,,
61,2018,psychiatric*executive*thalamic_lh,,,,,,,,,,,,,,
63,2017,controls*language*IFOF_lh,controls*language*IFOF_lh,controls*language*IFOF_rh,controls*language*uncinate_lh,controls*language*uncinate_rh,controls*language*ILF_lh,controls*language*ILF_rh,,,,,,,,
66,2017,psychiatric*mood*uncinate_rh,,,,,,,,,,,,,,
67,2017,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
68,2017,controls*language*AF_rh,,,,,,,,,,,,,,
69,2017,neurodevelopmental*motor*CC,,,,,,,,,,,,,,
70,2017,controls*memory*fornix,,,,,,,,,,,,,,
74,2017,neurological*motor*CST_lh,neurological*motor*CST_rh,neurological*motor*projection_lh,neurological*motor*projection_rh,,,,,,,,,,,
77,2017,psychiatric*visual*optic_rh,,,,,,,,,,,,,,
80,2017,controls*motor*CST_lh,controls*motor*CST_rh,,,,,,,,,,,,,
82,2017,controls*motor*SLF2_lh,controls*motor*SLF2_rh,controls*motor*SLF3_lh,controls*motor*SLF3_rh,,,,,,,,,,,
83,2017,degenerative*memory*projection_lh,,,,,,,,,,,,,,
84,2017,neurological*symptoms*uncinate_lh,neurological*symptoms*uncinate_rh,neurological*symptoms*ILF_lh,neurological*symptoms*ILF_rh,,,,,,,,,,,
85,2017,degenerative*executive*FAT_rh,degenerative*attention*FAT_rh,,,,,,,,,,,,,
86,2017,neurological*motor*cerebellar_lh,neurological*motor*cerebellar_rh,,,,,,,,,,,,,
87,2016,controls*executive*CC,controls*executive*CST_ukn,controls*executive*thalamic_ukn,,,,,,,,,,,,
89,2017,controls*executive*IFOF_lh,controls*executive*ILF_lh,controls*executive*ILF_lh,,,,,,,,,,,,
91,2017,degenerative*symptoms*thalamic_lh,degenerative*symptoms*thalamic_rh,,,,,,,,,,,,,
92,2017,controls*executive*cingulum_lh,controls*executive*cingulum_rh,,,,,,,,,,,,,
93,2017,controls*motor*FAT_lh,controls*motor*FAT_rh,controls*motor*Ufibers_lh,controls*motor*Ufibers_rh,controls*motor*FAT_lh,controls*motor*FAT_rh,,,,,,,,,
94,2016,other*motor*uncinate_lh,other*motor*uncinate_rh,,,,,,,,,,,,,
96,2017,controls*visual*ILF_lh,controls*visual*ILF_rh,controls*visual*AF_lh,controls*visual*AF_rh,controls*visual*VOF_lh,controls*visual*VOF_rh,,,,,,,,,
98,2017,neurodevelopmental*social*AF_rh,neurodevelopmental*social*cingulum_rh,,,,,,,,,,,,,
100,2016,controls*language*cingulum_lh,,,,,,,,,,,,,,
101,2016,psychiatric*addiction*cingulum_lh,psychiatric*addiction*cingulum_rh,,,,,,,,,,,,,
103,2016,degenerative*motor*thalamic_ukn,,,,,,,,,,,,,,
104,2017,controls*motor*Ufibers_lh,neurodevelopmental*motor*Ufibers_lh,,,,,,,,,,,,,
105,2016,degenerative*motor*AFlong_ukn,,,,,,,,,,,,,,
106,2017,controls*attention*SLF2_rh,,,,,,,,,,,,,,
109,2016,psychiatric*symptoms*thalamic_ukn,psychiatric*symptoms*uncinate_ukn,psychiatric*symptoms*SLF_ukn,psychiatric*symptoms*AF_ukn,,,,,,,,,,
110,2016,neurological*symptoms*CC,neurological*symptoms*projection_rh,,,,,,,,,,,,,
111,2016,controls*auditory*CC,controls*auditory*AF_lh,,,,,,,,,,,,,
112,2016,psychiatric*auditory*AF_lh,,,,,,,,,,,,,,
113,2016,psychiatric*symptoms*uncinate_lh,,,,,,,,,,,,,,
114,2016,controls*attention*striatal_rh,controls*executive*striatal_rh,,,,,,,,,,,,,
115,2016,degenerative*symptoms*CST_ukn,,,,,,,,,,,,,,
116,2016,psychiatric*mood*cingulum_ukn,,,,,,,,,,,,,,
117,2016,psychiatric*symptoms*ILF_rh,psychiatric*symptoms*AF_rh,psychiatric*memory*cingulum_rh,psychiatric*executive*cingulum_rh,,,,,,,,,,,
