number,year,group
0,2019,healhy
1,2019,degenerative
2,2019,psychiatric
6,2019,healhy
8,2019,psychiatric
11,2019,neurological
12,2019,psychiatric
13,2019,neurological
15,2019,degenerative
16,2018,healhy
17,2018,neurological
18,2018,psychiatric
19,2018,healhy
20,2019,psychiatric
21,2018,psychiatric
22,2018,psychiatric
24,2018,degenerative
27,2018,neurological
28,2018,healhy
31,2018,neurological
33,2018,neurological
35,2018,neurological
40,2018,neurodevelopmental
41,2018,healhy
42,2018,neurodevelopmental
43,2018,psychiatric
44,2018,neurodevelopmental
45,2018,neurological
46,2018,neurodevelopmental
48,2017,psychiatric
49,2018,degenerative
50,2017,neurodevelopmental
51,2018,healhy
52,2018,degenerative
53,2018,neurological
54,2018,neurological
55,2017,neurological
56,2017,healhy
57,2017,neurological
58,2018,degenerative
59,2017,neurodevelopmental
60,2017,neurological
61,2018,psychiatric
63,2017,healhy
66,2017,psychiatric
67,2017,neurological
68,2017,healhy
69,2017,neurodevelopmental
70,2017,healhy
74,2017,neurological
77,2017,psychiatric
80,2017,healhy
82,2017,healhy
83,2017,degenerative
84,2017,neurological
85,2017,degenerative
86,2017,neurological
87,2016,healhy
89,2017,healhy
91,2017,degenerative
92,2017,healhy
93,2017,healhy
94,2016,neurological
96,2017,healhy
98,2017,neurodevelopmental
100,2016,healhy
101,2016,psychiatric
103,2016,degenerative
104,2017,neurodevelopmental
105,2016,degenerative
106,2017,healhy
109,2016,psychiatric
110,2016,neurological
111,2016,healhy
112,2016,psychiatric
113,2016,psychiatric
114,2016,healhy
115,2016,degenerative
116,2016,psychiatric
117,2016,psychiatric
118,2016,degenerative
119,2016,healhy
120,2016,degenerative
122,2016,neurodevelopmental
123,2016,healhy
125,2016,healhy
126,2016,degenerative
127,2016,healhy
128,2016,healhy
130,2016,neurological
131,2016,healhy
132,2016,healhy
135,2016,psychiatric
136,2015,neurological
138,2016,psychiatric
139,2015,psychiatric
142,2016,degenerative
143,2016,psychiatric
144,2015,degenerative
145,2015,neurological
146,2015,healhy
148,2016,psychiatric
149,2015,neurological
150,2015,neurological
151,2015,psychiatric
152,2015,neurological
155,2015,degenerative
156,2015,psychiatric
158,2015,neurological
162,2015,healhy
164,2015,healhy
165,2015,neurological
168,2015,neurological
170,2015,degenerative
171,2015,psychiatric
172,2015,healhy
